Source,Block Name,Variable Name,Variable Description,Value,Value Description
ALSPAC,wave1m,covid1m_2225,a6a23:  Participant had a feeling of heaviness in arms or legs in Feb: COVID1,2,No
ALSPAC,wave1m,covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1,-5,Checked no boxes in a6a23
ALSPAC,wave1m,covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1,2,No
ALSPAC,wave1m,covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1,-5,Checked no boxes in a6a23
ALSPAC,wave1m,covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1,2,No
ALSPAC,wave1m,covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1,-5,Checked no boxes in a6a23
ALSPAC,wave1m,covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1,1," Yes, Had symptoms at some point"
ALSPAC,wave1m,covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1,2,"No, did not have symptoms at all"
ALSPAC,wave1m,covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1,2,No
ALSPAC,wave1m,covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1,2,No
ALSPAC,wave1m,covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1,2,No
ALSPAC,wave1m,covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1,2,No
ALSPAC,wave1m,covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1,2,No
ALSPAC,wave1m,covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1,2,No
ALSPAC,wave1m,covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1,2,No
ALSPAC,wave1m,covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1,-5,Checked no boxes in a6a24
ALSPAC,wave1m,covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1,1," Yes, Had symptoms at some point"
ALSPAC,wave1m,covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1,2,"No, did not have symptoms at all"
ALSPAC,wave1m,covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1,2,No
ALSPAC,wave1m,covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1,2,No
ALSPAC,wave1m,covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1,2,No
ALSPAC,wave1m,covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1,2,No
ALSPAC,wave1m,covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1,2,No
ALSPAC,wave1m,covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1,2,No
ALSPAC,wave1m,covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1,2,No
ALSPAC,wave1m,covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1,-5,Checked no boxes in a6a25
ALSPAC,wave1m,covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2500,DV: Participant did not have any symptoms in the last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2500,DV: Participant did not have any symptoms in the last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2500,DV: Participant did not have any symptoms in the last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2500,DV: Participant did not have any symptoms in the last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2500,DV: Participant did not have any symptoms in the last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2500,DV: Participant did not have any symptoms in the last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2500,DV: Participant did not have any symptoms in the last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1,-2,No symptoms in last week
ALSPAC,wave1m,covid1m_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1,9,Cant remember
ALSPAC,wave1m,covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1,-2,No symptoms in last week
ALSPAC,wave1m,covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1,0,Still have symptom(s)
ALSPAC,wave1m,covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1,9,Cant remember
ALSPAC,wave1m,covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1,-2,No symptoms in last week
ALSPAC,wave1m,covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1,2,No
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,-5,Checked no boxes in A6d1
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,-3,Not sought medical attention
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,-2,No symptoms in last week
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,-5,Checked no boxes in A6d1
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,-3,Not sought medical attention
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,-2,No symptoms in last week
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,-5,Checked no boxes in A6d1
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,-3,Not sought medical attention
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,-2,No symptoms in last week
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,-5,Checked no boxes in A6d1
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,-3,Not sought medical attention
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,-2,No symptoms in last week
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,1,Yes
ALSPAC,wave1m,covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1,2,No
ALSPAC,wave1m,covid1m_2525,a6d1: Particpant went to a walk-in centre about symptoms in last week: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_2525,a6d1: Particpant went to a walk-in centre about symptoms in last week: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_2525,a6d1: Particpant went to a walk-in centre about symptoms in last week: COVID1,-10,Did not complete Q
