Variable no,Variable Description
covid1yp_3062,b4m: Since lockdown pp changed freq relaxation/mindfulness/meditation: COVID1
covid1yp_3063,b4n: Since lockdown pp changed how much time listening to news: COVID1
covid1yp_3064,b4o: Since lockdown pp changed how much time learning new things: COVID1
covid1yp_3065,b4p: Since lockdown pp changed time spent doing hobbies/things enjoy: COVID1
covid1yp_3066,b4q: Since lockdown participant has changed how much they eat: COVID1
covid1yp_3067,b4r: Since lockdown participant has changed how much money they've spent: COVID1
covid1yp_3100,b5a: How many 0-4 year olds participant spoke to yesterday face to face: COVID1
covid1yp_3101,b5a: How many 5-17 year olds participant spoke to yesterday face to face: COVID1
covid1yp_3102,b5a: How many 18-69 year olds pp spoke to yesterday face to face: COVID1
covid1yp_3103,b5a: How many 70+ year olds participant spoke to yesterday face to face: COVID1
covid1yp_3110,b5b: How many 0-4 year olds participant spoke to yesterday by phone: COVID1
covid1yp_3111,b5b: How many 5-17 year olds participant spoke to yesterday by phone: COVID1
covid1yp_3112,b5b: How many 18-69 year olds participant spoke to yesterday by phone: COVID1
covid1yp_3113,b5b: How many 70+ year olds participant spoke to yesterday by phone: COVID1
covid1yp_3120,b5c: How many 0-4 year olds pp spoke to yesterday via video media: COVID1
covid1yp_3121,b5c: How many 5-17 year olds pp spoke to yesterday via video media: COVID1
covid1yp_3122,b5c: How many 18-69 year olds pp spoke to yesterday via video media: COVID1
covid1yp_3123,b5c: How many 70+ year olds pp spoke to yesterday via video media: COVID1
covid1yp_3130,b5d: How many 0-4y.o. pp spoke to yesterday with physical contact: COVID1
covid1yp_3131,b5d: How many 5-17y.o. pp spoke to yesterday with physical contact: COVID1
covid1yp_3132,b5d: How many 18-69y.o. pp spoke to yesterday with physical contact: COVID1
covid1yp_3133,b5d: How many 70+y.o. pp spoke to yesterday with physical contact: COVID1
covid1yp_3140,b6a: Freq pp connected w/ friends by phone/text/video call in last week: COVID1
covid1yp_3141,b6b: Freq connected w/ family outside home phone/text/video in last week: COVID1
covid1yp_3142,b6c: Freq connected w/ colleagues by phone/text/video call in last week: COVID1
covid1yp_3143,b6d: Freq pp worked face to face with colleagues in last week: COVID1
covid1yp_3144,b6e: Freq pp took part in an organised community activity in last week: COVID1
covid1yp_4000,c1a: How worried participant is about getting COVID-19: COVID1
covid1yp_4010,c1b: How worried pp is about someone close to them getting COVID-19: COVID1
covid1yp_4011,c1c: How worried participant is about passing on COVID-19 to others: COVID1
covid1yp_4012,c1d: How worried pp is about dying due to COVID-19 infection: COVID1
covid1yp_4013,c1e: How worried pp about someone close dying due to COVID-19 infection: COVID1
covid1yp_4014,c1f: How worried pp about them/family being in serious financial trouble: COVID1
covid1yp_4015,c1g: How worried participant is about losing their job: COVID1
covid1yp_4016,c1h: How worried participant is about the impact on their business: COVID1
covid1yp_4017,c1I: How worried participant is about paying the rent/mortgage: COVID1
covid1yp_4018,c1j: How worried participant is about not seeing friends and family: COVID1
covid1yp_4019,c1k: How worried participant is about getting the medications they  need: COVID1
covid1yp_4020,c1l: How worried participant is about getting the food they need: COVID1
covid1yp_4021,c1m: How worried participant is about their mental health: COVID1
covid1yp_4022,c1n: How worried participant is about their physical health: COVID1
covid1yp_4023,c1o: How worried pp is about the relationship with their spouse/partner: COVID1
covid1yp_4024,c1p: How worried pp is about the relationship with their children: COVID1
covid1yp_4025,c1q: How worried pp is about the relationship with the rest of family: COVID1
covid1yp_4026,c1r: How worried participant is about the impact on their children: COVID1
covid1yp_4027,c1s: How worried participant is about the impact on their parents: COVID1
covid1yp_4028,c1t: How worried pp is about time for things to get back to normal: COVID1
covid1yp_4029,c1u: How worried participant is another reason: COVID1
covid1yp_4050,c2a: In past two weeks participant felt miserable or unhappy: COVID1
covid1yp_4051,c2b: In past two weeks participant didn't enjoy anything at all: COVID1
covid1yp_4052,c2c: In past two weeks pp felt so tired just sat around and did nothing: COVID1
covid1yp_4053,cd: In past two weeks participant was very restless : COVID1
covid1yp_4054,c2e: In past two weeks participant they felt they were no good anymore : COVID1
covid1yp_4055,c2f: In past two weeks participant cried a lot : COVID1
covid1yp_4056,c2g: In past two weeks pp found it hard to think properly/concentrate: COVID1
covid1yp_4057,c2h: In past two weeks participant hated themselves : COVID1
covid1yp_4058,c2i: In past two weeks participant was a bad person : COVID1
covid1yp_4059,c2j: In past two weeks participant felt lonely : COVID1
covid1yp_4060,ck: In past two weeks participant thought nobody really loved them: COVID1
covid1yp_4061,c2l: In past two weeks pp thought could never be as good as others: COVID1
covid1yp_4062,c2m: In past two weeks participant did everything wrong: COVID1
covid1yp_4065,DV: Total score - Moods and feelings Q: COVID1
covid1yp_4066,DV: Total score - Moods and feelings Q: dichotomised at 12: COVID1
covid1yp_4067,DV: Number of missing questions - Moods and feelings Q: COVID1
covid1yp_4070,c3a: In past two weeks how often pp felt nervous/anxious/on edge: COVID1
covid1yp_4071,c3b: In past two weeks how often pp not able to stop or control worrying: COVID1
covid1yp_4072,c3c: In past two weeks how often pp worrying too much about things: COVID1
covid1yp_4073,c3d:  In past two weeks how often participant  had trouble relaxing : COVID1
covid1yp_4074,c3e: In past two weeks how often pp so restless was hard to sit still: COVID1
covid1yp_4075,c3f:  In past two weeks how often pp became easily annoyed or irritable: COVID1
covid1yp_4076,c3g: In past 2wks freq pp felt afraid as if something awful might happen: COVID1
covid1yp_4080,DV: Total score - GAD7: COVID1
covid1yp_4081,DV: Total score - GAD7: categories of anxiety: COVID1
covid1yp_4082,DV: Number of missing questions - GAD7: COVID1
covid1yp_4100,c4a: In past two weeks how often pp felt optimistic about the future: COVID1
covid1yp_4101,c4b: In past two weeks how often participant felt useful: COVID1
covid1yp_4102,c4c: In past two weeks how often participant felt relaxed: COVID1
covid1yp_4103,c4d: In past two weeks how often pp felt interested in other people: COVID1
covid1yp_4104,c4e: In past two weeks how often participant has had energy to spare: COVID1
covid1yp_4105,c4f: In past two weeks how often pp has dealt with problems well: COVID1
covid1yp_4106,c4g: In past two weeks how often participant has been thinking clearly: COVID1
covid1yp_4107,c4h: In past two weeks how often pp has felt good about themselves: COVID1
covid1yp_4108,c4i: In past two weeks how often pp has felt close to other people: COVID1
covid1yp_4109,c4j: In past two weeks how often participant has felt confident: COVID1
covid1yp_4110,c4k: In past 2wks how often pp able to make up mind about things: COVID1
covid1yp_4111,c4l: In past two weeks how often participant has felt loved: COVID1
covid1yp_4112,c4m: In past two weeks how often pp been interested in new things: COVID1
covid1yp_4113,c4n: In past two weeks how often participant has felt cheerful: COVID1
covid1yp_4120,DV: Total score - Warwick Edinburgh Mental wellbeing Scale: COVID1
covid1yp_4121,DV: Total score -  WEMWBS: Dichotomised for low mental wellbeing: COVID1
covid1yp_4122,DV: Total score -  WEMWBS: Categories of depression: COVID1
covid1yp_4123,DV: Number of missing questions - WEMWBS: COVID1
covid1yp_5000,d1: Did pp find the official guidance on COVID-19 easy to understand: COVID1
covid1yp_5001,d2: Participant rating of knowledge about COVID-19: COVID1
covid1yp_5002,d3: How reactive the pp felt the official guidance on COVID-19 was: COVID1
covid1yp_5003,d4: How participant felt about the timing of the lockdown in the UK: COVID1
covid1yp_5010,d5: Average time pp spent talking about COVID-19 in last 7 days: COVID1
covid1yp_5011,d5b: Average time pp spent reading/hearing about COVID-19 news: COVID1
covid1yp_5012,d5c: Average time pp spent reading about COVID-19 on social media: COVID1
covid1yp_5015,d6a: Number of children aged 0-9 years participant lives with: COVID1
covid1yp_5016,d6b: Number of children 10-17 years participant lives with: COVID1
covid1yp_5017,d6c: Number of adults 18-59 years participant lives with: COVID1
covid1yp_5018,d6d: Number of adults 60+ years participant lives with: COVID1
covid1yp_5020,d7: Type of accommodation participant lives in: COVID1
covid1yp_5025,d8: Participant has access to a garden: COVID1
covid1yp_5030,d10: Someone pregnant in participant's household: COVID1
covid1yp_5035,d11: Participant is a healthcare worker: COVID1
covid1yp_5036,d11a: # patients with COVID-19 pp cared for/interacted in past 2 weeks: COVID1
covid1yp_5037,DV: # COVID patients pp cared for/interacted in past 2 weeks (grouped): COVID1
covid1yp_5040,d11b: Participant lives with a healthcare worker: COVID1
covid1yp_5041,d11c: Health worker cared for patients with COVID-19 in past 2 weeks: COVID1
covid1yp_5045,d12: Participant is a keyworker; as defined by the government: COVID1
covid1yp_5046,d12b: Participant lives with a keyworker: COVID1
covid1yp_5050,d13: Participant currently planning (actively trying) to have children: COVID1
covid1yp_5051,d14: Current COVID-19 conditions altered pp's plans to try for children: COVID1
covid1yp_5052,d15: Concerns re. pregnancy/having child in current COVID-19 conditions: COVID1
covid1yp_9620,Date Participant completed questionnaire: Day: COVID1
covid1yp_9621,Date Participant completed questionnaire: Month: COVID1
covid1yp_9622,Date Participant completed questionnaire: Year: COVID1
covid1yp_9650,DV: Age in years on date Q completed: COVID1
covid1yp_9651,DV: Age in months on date Q completed: COVID1
avail_from_dt,
study_id_e,
covid2m_0001,Questionnaire sent to participant: COVID2
covid2m_0002,Questionnaire completed by participant: COVID2
covid2m_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2
covid2m_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2
covid2m_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2
covid2m_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2
covid2m_1004,a1_5:  Participant had runny nose since mid-April: COVID2
covid2m_1005,a1_6:  Participant had sneezing since mid-April: COVID2
covid2m_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2
covid2m_1007,a1_8:  Participant had sore eyes since mid-April: COVID2
covid2m_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2
covid2m_1009,a1_10:  Participant had a sore throat since mid-April: COVID2
covid2m_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2
covid2m_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2
covid2m_1012,a1_13:  Participant had dizziness since mid-April: COVID2
covid2m_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2
covid2m_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2
covid2m_1015,a1_16:  Participant had chest pain since mid-April: COVID2
covid2m_1016,a1_17:  Participant had fever since mid-April: COVID2
covid2m_1017,a1_18:  Participant had chills since mid-April: COVID2
covid2m_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2
covid2m_1019,a1_20:  Participant felt more tired than normal since mid-April: COVID2
covid2m_1020,a1_21:  Participant had severe fatigue since mid-April: COVID2
covid2m_1021,a1_22:  Participant had numbness or tingling since mid-April: COVID2
covid2m_1022,a1_23:  Pp had feelings of heaviness in arms or legs since mid-April: COVID2
covid2m_1023,a1_24:  Participant had achy muscles since mid-April: COVID2
covid2m_1024,a1_25:  Participant had shortness of breath since mid-April: COVID2
covid2m_1025,a1_26:  Participant had raised; red; itchy areas on skin since mid-April: COVID2
covid2m_1026,a1_27:  Participant had sudden swelling of face or lips since mid-April: COVID2
covid2m_1027,a1_28:  Pp had red/purple sores/blisters on feet/toes since mid-April: COVID2
covid2m_1030,DV: Predicted COVID case; based on Menni algorithm (from mid-April): COVID2
covid2m_1050,a2: Participant had temperature taken in the last week: COVID2
covid2m_1051,a2a: Doctor/nurse/other healthcare professional took pp's temperature: COVID2
covid2m_1052,a2b: Participant's highest temperature (Â°C): COVID2
covid2m_1060,a3: Participant thinks they have or have had COVID-19: COVID2
covid2m_1061,a3 (grouped): Participant thinks they have or have had COVID-19: COVID2
covid2m_1110,a8: Pp happy to be contacted for testing/sample collection in future: COVID2
covid2m_2000,b1a: # of home-cooked meals pp eats changed since lockdown: COVID2
covid2m_2001,b1b: # of meals pp eats in a day changed since lockdown: COVID2
covid2m_2002,b1c: # of snacks pp eats in a day changed since lockdown: COVID2
covid2m_2003,b1d: Amount of physical activity/exercise changed since lockdown: COVID2
covid2m_2004,b1e: Amount of sleep changed since lockdown: COVID2
covid2m_2005,b1f: Amount of alcohol participant drinks changed since lockdown: COVID2
covid2m_2006,b1g: Amount participant smokes/vapes changed since lockdown: COVID2
covid2m_2010,b2a: Frequency participant eaten breakfast in last month: COVID2
covid2m_2011,b2b: Frequency participant eaten lunch in last month: COVID2
covid2m_2012,b2c: Frequency participant eaten dinner in last month: COVID2
covid2m_2013,b2d: Frequency participant eaten snacks in last month: COVID2
covid2m_2014,b2e: Frequency pp eaten wholegrain breakfast cereal in last month: COVID2
covid2m_2015,b2f: Frequency participant eaten fresh fruit in last month: COVID2
covid2m_2016,b2g: Frequency participant eaten vegetables in last month: COVID2
covid2m_2017,b2h: Freq pp eaten potatoes (boiled/jacket/mashed only) in last month: COVID2
covid2m_2018,b2i: Frequency pp eaten brown/wholemeal bread or rolls in last month: COVID2
covid2m_2019,b2j: Frequency pp eaten white bread or rolls in last month: COVID2
covid2m_2020,b2k: Frequency pp eaten chocolate or sweets in last month: COVID2
covid2m_2021,b2l: Frequency pp eaten crisps or similar savoury snacks in last month: COVID2
covid2m_2022,b2m: Frequency pp eaten baked beans/other legumes in last month: COVID2
covid2m_2023,b2n: Frequency participant eaten biscuits or cake in last month: COVID2
covid2m_2024,b2o: Frequency participant eaten processed meat in last month: COVID2
covid2m_2030,DV: Estimated intake (grams per day): Wholegrain breakfast cereal: COVID2
covid2m_2031,DV: Estimated intake (grams per day): Fresh fruit: COVID2
covid2m_2032,DV: Estimated intake (grams per day): Vegetables: COVID2
covid2m_2033,DV: Estimated intake (grams per day): Baked or boiled potatoes: COVID2
covid2m_2034,DV: Estimated intake (grams per day): Brown/wholemeal bread or rolls: COVID2
covid2m_2035,DV: Estimated intake (grams per day): White bread or rolls: COVID2
covid2m_2036,DV: Estimated intake (grams per day): Chocolate or sweets: COVID2
covid2m_2037,DV: Estimated intake (grams per day): Crisps or savoury snacks: COVID2
covid2m_2038,DV: Estimated intake (grams per day): Baked beans and legumes: COVID2
covid2m_2039,DV: Estimated intake (grams per day): Biscuits and cakes: COVID2
covid2m_2040,DV: Estimated intake (grams per day): Processed meat: COVID2
covid2m_2045,DV: Obesogenic dietary pattern score: COVID2
covid2m_2050,b3: Since lockdown; frequency participant had a drink containing alcohol: COVID2
covid2m_2051,b3a: Since lockdown; # units pp has on a typical day when drinking: COVID2
covid2m_2052,b3b: Since lockdown; frequency pp has >6 units on one occasion: COVID2
covid2m_2060,b4: Participant has gambled in the last month: COVID2
covid2m_2061,b4a1: Participant bought tickets for the National Lottery in last month: COVID2
covid2m_2062,b4a2: Participant has bought scratchcards in last month: COVID2
covid2m_2063,b4a3: Participant has taken part in online gambling in last month: COVID2
covid2m_2064,b4a4:  Participant has taken part in online betting in last month: COVID2
covid2m_2065,b4a5:  Participant has taken part in a betting exchange in last month: COVID2
covid2m_2066,b4a6:  Participant has taken part in spread betting in last month: COVID2
covid2m_2067,b4a7:  Participant has taken part in private betting in last month: COVID2
covid2m_2068,b4a8: Participant has taken part in other form of gambling in last month: COVID2
covid2m_2080,b5a: Average time pp spent talking about COVID-19 in last 7 days: COVID2
covid2m_2081,b5b: Average time pp spent reading/hearing about COVID-19 news: COVID2
covid2m_2082,b5c: Average time pp spent reading about COVID-19 on social media: COVID2
covid2m_2100,b6a1: How many 0-4 year olds pp spoke to yesterday face to face: COVID2
covid2m_2101,b6a2: How many 5-17 year olds pp spoke to yesterday face to face: COVID2
covid2m_2102,b6a3: How many 18-29 year olds pp spoke to yesterday face to face: COVID2
covid2m_2103,b6a4: How many 30-39 year olds pp spoke to yesterday face to face: COVID2
covid2m_2104,b6a5: How many 40-49 year olds pp spoke to yesterday face to face: COVID2
covid2m_2105,b6a6: How many 50-59 year olds pp spoke to yesterday face to face: COVID2
covid2m_2106,b6a7: How many 60-69 year olds pp spoke to yesterday face to face: COVID2
covid2m_2107,b6a8: How many 70+ year olds pp spoke to yesterday face to face: COVID2
covid2m_2110,b6b1: How many 0-4 year olds pp spoke to yesterday via phone: COVID2
covid2m_2111,b6b2: How many 5-17 year olds pp spoke to yesterday via phone: COVID2
covid2m_2112,b6b3: How many 18-29 year olds pp spoke to yesterday via phone: COVID2
covid2m_2113,b6b4: How many 30-39 year olds pp spoke to yesterday via phone: COVID2
covid2m_2114,b6b5: How many 40-49 year olds pp spoke to yesterday via phone: COVID2
covid2m_2115,b6b6: How many 50-59 year olds pp spoke to yesterday via phone: COVID2
covid2m_2116,b6b7: How many 60-69 year olds pp spoke to yesterday via phone: COVID2
covid2m_2117,b6b8: How many 70+ year olds pp spoke to yesterday via phone: COVID2
covid2m_2120,b6c1: How many 0-4 year olds pp spoke to yesterday via video media: COVID2
covid2m_2121,b6c2: How many 5-17 year olds pp spoke to yesterday via video media: COVID2
covid2m_2122,b6c3: How many 18-29 year olds pp spoke to yesterday via video media: COVID2
covid2m_2123,b6c4: How many 30-39 year olds pp spoke to yesterday via video media: COVID2
covid2m_2124,b6c5: How many 40-49 year olds pp spoke to yesterday via video media: COVID2
covid2m_2125,b6c6: How many 50-59 year olds pp spoke to yesterday via video media: COVID2
covid2m_2126,b6c7: How many 60-69 year olds pp spoke to yesterday via video media: COVID2
covid2m_2127,b6c8: How many 70+ year olds pp spoke to yesterday via video media: COVID2
covid2m_2130,b6d1: How many 0-4 y.o. pp spoke to yesterday with physical contact: COVID2
covid2m_2131,b6d2: How many 5-17 y.o. pp spoke to yesterday with physical contact: COVID2
covid2m_2132,b6d3: How many 18-29 y.o. pp spoke to yesterday with physical contact: COVID2
covid2m_2133,b6d4: How many 30-39 y.o. pp spoke to yesterday with physical contact: COVID2
covid2m_2134,b6d5: How many 40-49 y.o. pp spoke to yesterday with physical contact: COVID2
covid2m_2135,b6d6: How many 50-59 y.o. pp spoke to yesterday with physical contact: COVID2
covid2m_2136,b6d7: How many 60-69 y.o. pp spoke to yesterday with physical contact: COVID2
covid2m_2137,b6d8: How many 70+ y.o. pp spoke to yesterday with physical contact: COVID2
covid2m_2150,b7: Participant has or is self-isolating: COVID2
covid2m_2154,DV: How many weeks pp self-isolated/is planning to self-isolate for: COVID2
covid2m_2160,b7c1: Pp self-isolated because they were diagnosed with COVID-19: COVID2
covid2m_2161,b7c2: Pp self-isolated bc showed symptoms; but not diagnosed COVID-19: COVID2
covid2m_2162,b7c3: Pp self-isolated because they someone in household had symptoms: COVID2
covid2m_2163,b7c4: Participant self-isolated because they are in a vulnerable group: COVID2
covid2m_2164,b7c5: Pp self-isolated because live with someone in a vulnerable group: COVID2
covid2m_2165,b7c6: Pp self-isolated bc travelled somewhere and was told to on return: COVID2
covid2m_2166,b7c7: Participant self-isolated for another reason: COVID2
covid2m_4000,c1a: How worried participant is about getting COVID-19: COVID2
covid2m_4010,c1b: How worried pp is about someone close to them getting COVID-19: COVID2
covid2m_4011,c1c: How worried participant is about passing on COVID-19 to others: COVID2
covid2m_4012,c1d: How worried participant is about dying due to COVID-19 infection: COVID2
covid2m_4013,c1e: How worried pp about someone close dying due to COVID-19 infection: COVID2
covid2m_4014,c1f: How worried pp about them/family being in serious financial trouble: COVID2
covid2m_4015,c1g: How worried participant is about losing their job: COVID2
covid2m_4016,c1h: How worried participant is about the impact on their business: COVID2
covid2m_4017,c1i: How worried participant is about paying the rent/mortgage: COVID2
covid2m_4018,c1j: How worried participant is about not seeing friends and family: COVID2
covid2m_4019,c1k: How worried participant is about getting the medications they need: COVID2
covid2m_4020,c1l: How worried participant is about getting the food they need: COVID2
covid2m_4021,c1m: How worried participant is about their mental health: COVID2
covid2m_4022,c1n: How worried participant is about their physical health: COVID2
covid2m_4023,c1o: How worried pp is about the relationship with their spouse/partner: COVID2
covid2m_4024,c1p:  How worried pp is about the relationship with their children: COVID2
covid2m_4025,c1q: How worried pp is about the relationship with the rest of my family: COVID2
covid2m_4026,c1r: How worried participant is about the impact on their children: COVID2
covid2m_4027,c1s: How worried participant is about the impact on their parents: COVID2
covid2m_4028,c1t: How worried pp is about time for things to get back to normal: COVID2
covid2m_4029,c1u: How worried participant is another reason: COVID2
covid2m_4050,c2a: In past two weeks participant felt miserable or unhappy: COVID2
covid2m_4051,c2b: In past two weeks participant didn't enjoy anything at all: COVID2
covid2m_4052,c2c: In past two weeks pp felt so tired just sat around and did nothing: COVID2
covid2m_4053,c2d: In past two weeks participant was very restless: COVID2
covid2m_4054,c2e: In past two weeks participant they felt they were no good anymore: COVID2
covid2m_4055,c2f: In past two weeks participant cried a lot: COVID2
covid2m_4056,c2g: In past two weeks pp found it hard to think properly/concentrate: COVID2
covid2m_4057,c2h: In past two weeks participant hated themselves: COVID2
covid2m_4058,c2i: In past two weeks participant was a bad person: COVID2
covid2m_4059,c2j: In past two weeks participant felt lonely: COVID2
covid2m_4060,c2k: In past two weeks participant thought nobody really loved them: COVID2
covid2m_4061,c2l: In past two weeks pp thought they could never be as good as others: COVID2
covid2m_4062,c2m: In past two weeks participant did everything wrong: COVID2
covid2m_4065,DV: Total score - Moods and feelings Q: COVID2
covid2m_4066,DV: Total score - Moods and feelings Q: dichotomised at 12: COVID2
covid2m_4067,DV: Number of missing questions - Moods and feelings Q: COVID2
covid2m_4070,c3a: In past two weeks how often pp felt nervous; anxious or on edge: COVID2
covid2m_4071,c3b: In past two weeks how often pp not able to stop or control worrying: COVID2
covid2m_4072,c3c:  In past two weeks how often pp worrying too much about things: COVID2
covid2m_4073,c3d:  In past two weeks how often participant had trouble relaxing: COVID2
covid2m_4074,c3e:  In past two weeks how often pp so restless was hard to sit still: COVID2
covid2m_4075,c3f:  In past two weeks how often pp became easily annoyed or irritable: COVID2
covid2m_4076,c3g: In past 2wks freq pp felt afraid as if something awful might happen: COVID2
covid2m_4080,DV: Total score - GAD7: COVID2
covid2m_4081,DV: Total score - GAD7: categories of anxiety: COVID2
covid2m_4082,DV: Number of missing questions - GAD7: COVID2
covid2m_4100,c4a: In past two weeks how often pp felt optimistic about the future: COVID2
covid2m_4101,c4b: In past two weeks how often participant felt useful: COVID2
covid2m_4102,c4c: In past two weeks how often participant felt relaxed: COVID2
covid2m_4103,c4d: In past two weeks how often pp felt interested in other people: COVID2
covid2m_4104,c4e: In past two weeks how often participant has had energy to spare: COVID2
covid2m_4105,c4f: In past two weeks how often pp has dealt with problems well: COVID2
covid2m_4106,c4g: In past two weeks how often participant has been thinking clearly: COVID2
covid2m_4107,c4h: In past two weeks how often pp has felt good about themselves: COVID2
covid2m_4108,c4i: In past two weeks how often pp has felt close to other people: COVID2
covid2m_4109,c4j: In past two weeks how often participant has felt confident: COVID2
covid2m_4110,c4k: In past 2wks how often pp able to make up mind about things : COVID2
covid2m_4111,c4l: In past two weeks how often participant has felt loved: COVID2
covid2m_4112,c4m: In past two weeks how often pp been interested in new things: COVID2
covid2m_4113,c4n: In past two weeks how often participant has felt cheerful: COVID2
covid2m_4120,DV: Total score - Warwick Edinburgh Mental wellbeing Scale: COVID2
covid2m_4121,DV: Total score -  WEMWBS: Dichotomised for low mental wellbeing: COVID2
covid2m_4122,DV: Total score -  WEMWBS: Categories of depression: COVID2
covid2m_4123,DV: Number of missing questions - WEMWBS: COVID2
covid2m_4150,c5a: Pp believes COVID-19 will not affect many in country they live: COVID2
covid2m_4151,c5b: Pp believes they will probably get sick with COVID-19: COVID2
covid2m_4152,c5c: Pp believes getting sick with COVID-19 can be serious: COVID2
covid2m_5000,d1: Participant lives with others: COVID2
covid2m_5010,d1a1: Number of partner/spouse(s) participant lives with: COVID2
covid2m_5011,d1a2: Number of parents participant lives with: COVID2
covid2m_5012,d1a3: Number of siblings participant lives with: COVID2
covid2m_5013,d1a4: Number of children participant lives with: COVID2
covid2m_5014,d1a5: Number of other family members participant lives with: COVID2
covid2m_5015,d1a6: Number of friends participant lives with: COVID2
covid2m_5016,d1a7: Number of lodgers participant lives with: COVID2
covid2m_5017,d1a8: Number of others participant lives with: COVID2
covid2m_5020,d1b1: Number of children aged 0-4 years participant lives with: COVID2
covid2m_5021,d1b2: Number of children 5-17 years participant lives with: COVID2
covid2m_5022,d1b3: Number of adults 18-29 years participant lives with: COVID2
covid2m_5023,d1b4: Number of adults 30-39 years participant lives with: COVID2
covid2m_5024,d1b5: Number of adults 40-49 years participant lives with: COVID2
covid2m_5025,d1b6: Number of adults 50-59 years participant lives with: COVID2
covid2m_5026,d1b7: Number of adults 60-69 years participant lives with: COVID2
covid2m_5027,d1b8: Number of adults 70+ years participant lives with: COVID2
covid2m_5030,d1c: Participant does not live with anyone elderly or shielding: COVID2
covid2m_5031,d1c: Participant lives with someone over 70 but no shielded condition: COVID2
covid2m_5032,d1c: Participant lives with a child (<18) with a shielded condition: COVID2
covid2m_5033,d1c: Participant lives with an adult (18-69) with a shielded condition: COVID2
covid2m_5034,d1c: Pp lives with an older adult (70+) with a shielded condition: COVID2
covid2m_5100,d2: Participant has changed living arrangements due to COVID-19: COVID2
covid2m_5110,d2a: Participant temporarily moved to current address: COVID2
covid2m_5111,d2a: Another adult has moved to participant's address: COVID2
covid2m_5112,d2a: Adults that participant normally lives with have moved elsewhere: COVID2
covid2m_5113,d2a: Participant living arrangements have changed for another reason: COVID2
covid2m_6000,e1a: Participant in full-time paid work before lockdown: COVID2
covid2m_6001,e1b: Participant in part-time paid work before lockdown: COVID2
covid2m_6002,e1c: Participant doing irregular/occasional work before lockdown: COVID2
covid2m_6003,e1d: Participant doing modern apprenticeship/similar scheme before lockdown: COV
covid2m_6004,e1e: Participant unemployed and looking for work before lockdown: COVID2
covid2m_6005,e1g: Pp unable to work through sickness/disability before lockdown: COVID2
covid2m_6006,e1g: Participant in full-time education before lockdown: COVID2
covid2m_6007,e1h: Participant in part-time education before lockdown: COVID2
covid2m_6008,e1i: Participant doing voluntary work before lockdown: COVID2
covid2m_6009,e1j: Participant self-employed before lockdown: COVID2
covid2m_6010,e1k: Participant a full/part-time carer before lockdown: COVID2
covid2m_6011,e1l: Participant retired before lockdown: COVID2
covid2m_6012,e1m: Participant in another employment situation before lockdown: COVID2
covid2m_6020,e2: Participant's current employment situation: COVID2
covid2m_6030,e3: Pp is a keyworker/work classified as critical to COVID-19 response: COVID2
covid2m_6040,e3a: Participant works in health/social care or related support worker: COVID2
covid2m_6041,e3a: Participant works in teaching or childcare: COVID2
covid2m_6042,e3a: Participant works in key public services: COVID2
covid2m_6043,e3a: Participant works in local and national government: COVID2
covid2m_6044,e3a: Participant works in food and other necessary goods: COVID2
covid2m_6045,e3a: Participant works in public safety or national security worker: COVID2
covid2m_6046,e3a: Participant works in transport: COVID2
covid2m_6047,e3a: Pp works in utilities; communications or financial services: COVID2
covid2m_6048,e3a: Participant works in other sector: COVID2
covid2m_6050,e3b: Pp's work requires close contact with others they don't live with: COVID2
covid2m_6060,e3b: Pp's workplace has access to necessary PPE: COVID2
covid2m_6070,e4: Participant lives with any keyworkers: COVID2
covid2m_6080,e4a: Pp lives with health/social care or related support worker: COVID2
covid2m_6081,e4a: Participant lives with someone working in teaching or childcare: COVID2
covid2m_6082,e4a: Participant lives with someone working in key public services: COVID2
covid2m_6083,e4a: Pp lives with someone working in local/national government: COVID2
covid2m_6084,e4a: Pp lives with someone working in food/other necessary goods: COVID2
covid2m_6085,e4a: Pp lives with public safety/national security worker: COVID2
covid2m_6086,e4a: Participant lives with someone working in transport: COVID2
covid2m_6087,e4a: Pp lives with utilities/communications/financial services worker: COVID2
covid2m_6088,e4a: Participant lives with someone working in other sector: COVID2
covid2m_6090,e5: How participant managed financially pre-pandemic: COVID2
covid2m_6100,e6: Pp's feeling about financial situation compared to pre-pandemic: COVID2
covid2m_6110,e7: Participant's situation regarding household food availability: COVID2
covid2m_6120,e8: Pp/partner claimed no benefits/allowances in 3mths prior to pandemic: COVID2
covid2m_6140,e9: Pp/partner claimed no benefits/allowances since pandemic: COVID2
covid2m_6160,e10: Since pandemic; pp used mortgage/rent payment holidays: COVID2
covid2m_6161,e10: Since pandemic; used other debt repayment/interest payment holidays: COVID2
covid2m_6170,e11: Participant has given unpaid help to someone during the pandemic: COVID2
